,Unnamed: 0.1,Unnamed: 0,French,English
0,0,1,histoire,history
1,1,2,chercher,search
2,2,3,seulement,only
3,3,4,police,police
4,4,5,pensais,thought
5,5,6,aide,help
6,6,7,demande,request
7,8,10,frère,brother
8,9,12,car,because
9,10,13,mettre,to put
10,11,14,aucun,no
11,12,16,eux,them
12,13,17,ville,city
13,14,18,chaque,each
14,15,19,parlé,speak
15,16,20,arrivé,come
16,17,21,devrait,should
17,18,22,bébé,baby
18,19,23,longtemps,long time
19,20,24,heures,hours
20,21,26,revoir,meet again
21,22,27,aucune,any
22,23,28,place,square
23,24,29,parle,speak
24,25,30,compris,understood
25,26,31,étaient,were
26,27,33,voici,here is
27,28,34,pourrais,could
28,29,35,affaire,case
29,30,36,donner,give
30,31,37,type,type
31,32,38,leurs,their
32,33,40,train,train
33,34,41,corps,body
34,35,42,endroit,place
35,36,43,yeux,eyes
36,37,44,façon,way
37,38,45,écoute,listen
38,39,46,dont,whose
39,40,47,trouve,find
40,41,48,premier,first
41,42,49,perdu,lost
42,43,50,main,hand
43,44,52,côté,side
44,45,53,pouvoir,power
45,46,54,vieux,old
46,47,55,sois,be
47,48,56,tiens,here
48,49,57,matin,morning
49,50,58,tellement,so much
50,51,60,point,point
51,52,62,suite,after
52,53,63,pardon,sorry
53,54,64,venez,come
54,55,65,devant,in front of
55,56,66,vers,towards
56,57,67,minutes,minutes
57,58,68,demandé,request
58,59,69,chambre,bedroom
59,60,70,mis,placed
60,61,71,belle,beautiful
61,62,72,droit,law
62,63,73,aimerais,would like to
63,64,75,mari,husband
64,65,76,cause,cause
65,66,77,enfin,finally
66,67,78,espère,hope
67,68,79,eau,water
68,69,80,parti,left
69,70,81,nouvelle,new
70,71,82,boulot,job
71,72,84,dirait,would say
72,73,85,terre,Earth
73,74,86,compte,account
74,75,87,donne,given
75,76,88,loin,far
76,77,89,fin,end
77,78,90,croire,believe
78,79,91,chérie,sweetheart
79,80,92,gros,large
80,81,93,plutôt,rather
81,82,94,aura,will have
82,83,95,filles,girls
83,84,96,jouer,to play
84,85,97,bureau,office
